Evento,Escenario,z,sigma(z),Clasificación
150,Estrés,-2.454143174771591,0.07913609427358836,Normal
151,Estrés,-2.4543394281956297,0.07912179376660364,Normal
152,Estrés,-2.452517930159711,0.07925461269654077,Normal
153,Estrés,-2.4528224613349434,0.079232392893123,Normal
154,Estrés,-2.4544477059468237,0.07911390484290896,Normal
155,Estrés,-2.4543461955550794,0.07912130068780715,Normal
156,Estrés,-2.452497628081362,0.07925609421923688,Normal
157,Estrés,-2.456167693590998,0.07898868600301039,Normal
158,Estrés,-2.4523352114545713,0.07926794731201184,Normal
159,Estrés,-2.4543123587578313,0.0791237661098779,Normal
160,Estrés,-2.452754787740447,0.07923733013513368,Normal
161,Estrés,-2.4545559836980173,0.07910601663821908,Normal
162,Estrés,-2.4542988240389323,0.07912475229836816,Normal
163,Estrés,-2.454264987241684,0.07912721781874968,Normal
164,Estrés,-2.4545898204952654,0.0791035517216974,Normal
165,Estrés,-2.456330110217789,0.07897687108684681,Normal
166,Estrés,-2.454637192011413,0.07910010095651719,Normal
167,Estrés,-2.4543461955550794,0.07912130068780715,Normal
168,Estrés,-2.4529104370077883,0.07922597489885118,Normal
169,Estrés,-2.4527074162243,0.07924078637184201,Normal
170,Estrés,-2.454393567071227,0.07911784921487744,Normal
171,Estrés,-2.45451537954132,0.07910897463072271,Normal
172,Estrés,-2.4544680080251724,0.07911242574976325,Normal
173,Estrés,-2.4545559836980173,0.07910601663821908,Normal
174,Estrés,-2.454752237122056,0.07909172109966958,Normal
175,Estrés,-2.454474775384622,0.07911193272433184,Normal
176,Estrés,-2.4561135547154014,0.07899262466747853,Normal
177,Estrés,-2.454630424651963,0.07910059391454667,Normal
178,Estrés,-2.4540484317392965,0.07914299881216082,Normal
179,Estrés,-2.452889056585466,0.0792275345980101,Normal
180,Estrés,-2.453777737361312,0.07916272909945515,Normal
181,Estrés,-2.4530119473995327,0.07921857011125841,Normal
182,Estrés,-2.4560594158398046,0.07899656351149767,Normal
183,Estrés,-2.454285289320033,0.07912573849809401,Normal
184,Estrés,-2.4540078275825987,0.07914595806868016,Normal
185,Estrés,-2.4541364074121415,0.07913658743665486,Normal
186,Estrés,-2.4546710288086606,0.07909763620849361,Normal
187,Estrés,-2.454596587854715,0.07910305874681814,Normal
188,Estrés,-2.4532420376208193,0.07920178826780157,Normal
189,Estrés,-2.4544680080251724,0.07911242574976325,Normal
190,Estrés,-2.4545492163385676,0.0791065096299486,Normal
191,Estrés,-2.455910533931913,0.07900739625841326,Normal
192,Estrés,-2.454373264992878,0.07911932840070908,Normal
193,Estrés,-2.454400334430676,0.07911735615855105,Normal
194,Estrés,-2.4542379178038853,0.07912919028561606,Normal
195,Estrés,-2.4525923711136564,0.0792491806631947,Normal
196,Estrés,-2.4511701472852647,0.07935302067591869,Normal
197,Estrés,-2.452511162800261,0.07925510653462722,Normal
198,Estrés,-2.4540890358959944,0.07914003965677853,Normal
199,Estrés,-2.454109337974343,0.07913856011701294,Normal
200,Estrés,-2.4529239717266877,0.07922498755729024,Normal
201,Estrés,-2.4524502565652146,0.07925955120395806,Normal
202,Estrés,-2.450784407796637,0.07938120587880593,Normal
203,Estrés,-2.4528156939754937,0.07923288660467138,Normal
204,Estrés,-2.450743803639939,0.07938417327435536,Normal
205,Estrés,-2.4528562981321915,0.07922992437755592,Normal
206,Estrés,-2.4507370362804894,0.0793846678501347,Normal
207,Estrés,-2.4510348000962727,0.07936290917920587,Normal
208,Estrés,-2.4504934113403034,0.07940247445346793,Normal
209,Estrés,-2.45287660021054,0.07922844330195498,Normal
210,Estrés,-2.4507911751560867,0.07938071132273532,Normal
211,Estrés,-2.4509129876261797,0.07937180979489963,Normal
212,Estrés,-2.4524705586435633,0.07925806962220364,Normal
213,Estrés,-2.4509468244234274,0.07936933731015884,Normal
214,Estrés,-2.4526465099892536,0.07924523030720879,Normal
215,Estrés,-2.451109241050218,0.07935747036306075,Normal
216,Estrés,-2.452551766956959,0.07925214354829183,Normal
217,Estrés,-2.451149845206916,0.07935450387963265,Normal
218,Estrés,-2.450940057063978,0.07936983180147655,Normal
219,Estrés,-2.454244685163335,0.07912869716468598,Normal
220,Estrés,-2.451202905738539,0.07935062750344256,Normal
221,Estrés,-2.4544680080251724,0.07911242574976325,Normal
222,Estrés,-2.4528224613349434,0.079232392893123,Normal
223,Estrés,-2.4541161053337928,0.07913806694270957,Normal
224,Estrés,-2.4526938815054007,0.07924177389335114,Normal
225,Estrés,-2.454352962914529,0.07912080761181944,Normal
226,Estrés,-2.454122872693242,0.07913757377121547,Normal
227,Estrés,-2.452098353873835,0.07928523597634612,Normal
228,Estrés,-2.4524705586435633,0.07925806962220364,Normal
229,Estrés,-2.4542582198822345,0.07912771093125281,Normal
230,Estrés,-2.454738702403157,0.07909270692305925,Normal
231,Estrés,-2.4541702442093896,0.07913412164941411,Normal
232,Estrés,-2.4543123587578313,0.0791237661098779,Normal
233,Estrés,-2.454495077462971,0.07911045366488893,Normal
234,Estrés,-2.4545762857763664,0.07910453767988093,Normal
235,Estrés,-2.453906317190855,0.07915335665247102,Normal
236,Estrés,-2.4591745578745727,0.07877021494187289,Normal
250,Normal,-2.6061652886850313,0.06874268532812909,Normal
251,Normal,-2.607642729732994,0.06864816403676903,Normal
252,Normal,-2.6077374727652884,0.06864210683230658,Normal
253,Normal,-2.6085438668837657,0.06859057168856504,Normal
254,Normal,-2.6085235648054166,0.06859186871657708,Normal
255,Normal,-2.6085303321648663,0.06859143637138194,Normal
256,Normal,-2.608428821773122,0.0685979218143832,Normal
257,Normal,-2.6072975944010635,0.06867023375449702,Normal
258,Normal,-2.608428821773122,0.0685979218143832,Normal
259,Normal,-2.6085235648054166,0.06859186871657708,Normal
260,Normal,-2.6085235648054166,0.06859186871657708,Normal
261,Normal,-2.6085235648054166,0.06859186871657708,Normal
262,Normal,-2.6085438668837657,0.06859057168856504,Normal
263,Normal,-2.6085235648054166,0.06859186871657708,Normal
264,Normal,-2.608428821773122,0.0685979218143832,Normal
265,Normal,-2.6085303321648663,0.06859143637138194,Normal
266,Normal,-2.6085303321648663,0.06859143637138194,Normal
267,Normal,-2.6085303321648663,0.06859143637138194,Normal
268,Normal,-2.608428821773122,0.0685979218143832,Normal
269,Normal,-2.6085235648054166,0.06859186871657708,Normal
270,Normal,-2.6085235648054166,0.06859186871657708,Normal
271,Normal,-2.6085303321648663,0.06859143637138194,Normal
272,Normal,-2.6069581480846096,0.06869194609777171,Normal
273,Normal,-2.608428821773122,0.0685979218143832,Normal
274,Normal,-2.6085303321648663,0.06859143637138194,Normal
275,Normal,-2.6085303321648663,0.06859143637138194,Normal
276,Normal,-2.604743064856639,0.06883378787565053,Normal
277,Normal,-2.547910296446049,0.07256699900330132,Normal
278,Ataque (nmap),14.832967088898052,0.9999996384868611,Anomalía
279,Ataque (nmap),12.665193000934009,0.9999968408140052,Anomalía
280,Ataque (nmap),18.655392222718973,0.9999999920920103,Anomalía
281,Normal,-2.6085235648054166,0.06859186871657708,Normal
282,Normal,-2.606964915444059,0.0686915131682952,Normal
283,Normal,-2.6085235648054166,0.06859186871657708,Normal
284,Normal,-2.6085235648054166,0.06859186871657708,Normal
285,Normal,-2.6085235648054166,0.06859186871657708,Normal
286,Normal,-2.6085303321648663,0.06859143637138194,Normal
287,Normal,-2.608428821773122,0.0685979218143832,Normal
288,Normal,-2.6084355891325717,0.06859748943384444,Normal
289,Normal,-2.6085235648054166,0.06859186871657708,Normal
290,Normal,-2.6085303321648663,0.06859143637138194,Normal
291,Normal,-2.6085235648054166,0.06859186871657708,Normal
292,Normal,-2.6085303321648663,0.06859143637138194,Normal
293,Normal,-2.6085235648054166,0.06859186871657708,Normal
294,Normal,-2.60695138072516,0.06869237902977555,Normal
295,Normal,-2.6085235648054166,0.06859186871657708,Normal
296,Normal,-2.608428821773122,0.0685979218143832,Normal
297,Normal,-2.6085235648054166,0.06859186871657708,Normal
298,Normal,-2.6085235648054166,0.06859186871657708,Normal
299,Normal,-2.6085235648054166,0.06859186871657708,Normal
300,Normal,-2.6085303321648663,0.06859143637138194,Normal
301,Normal,-2.6085235648054166,0.06859186871657708,Normal
302,Normal,-2.6085235648054166,0.06859186871657708,Normal
303,Normal,-2.608428821773122,0.0685979218143832,Normal
304,Normal,-2.6085235648054166,0.06859186871657708,Normal
305,Normal,-2.6085235648054166,0.06859186871657708,Normal
306,Normal,-2.6085235648054166,0.06859186871657708,Normal
307,Normal,-2.6085303321648663,0.06859143637138194,Normal
308,Normal,-2.6085235648054166,0.06859186871657708,Normal
309,Normal,-2.6085235648054166,0.06859186871657708,Normal
310,Normal,-2.6085303321648663,0.06859143637138194,Normal
311,Normal,-2.6085303321648663,0.06859143637138194,Normal
312,Normal,-2.6085235648054166,0.06859186871657708,Normal
313,Normal,-2.6085235648054166,0.06859186871657708,Normal
314,Normal,-2.608550634243215,0.06859013935094327,Normal
315,Normal,-2.6085235648054166,0.06859186871657708,Normal
316,Normal,-2.608537099524316,0.06859100402871128,Normal
317,Normal,-2.6069581480846096,0.06869194609777171,Normal
318,Normal,-2.6085303321648663,0.06859143637138194,Normal
319,Normal,-2.55189950619379,0.0722989784423785,Normal
320,Estrés,-0.2859133657991024,0.42900463583788506,Normal
321,Estrés,3.238240838454904,0.962248257162991,Anomalía
322,Estrés,4.75850182037998,0.9914945120817851,Anomalía
323,Estrés,3.2078611591603154,0.9611290371859994,Anomalía
324,Estrés,0.322794668389879,0.5800051828556734,Anomalía
325,Estrés,-1.4911985668597691,0.18374189724384563,Normal
326,Ataque (nmap),45.249046329664814,1.0,Anomalía
327,Ataque (nmap),65.20581419385263,1.0,Anomalía
328,Normal,-2.6017315899015623,0.06902706127251844,Normal
329,Normal,-2.5953231977983893,0.06944001856571944,Normal
330,Normal,-2.6085235648054166,0.06859186871657708,Normal
331,Normal,-2.6068701724117647,0.0686975744109546,Normal
332,Normal,-2.6085235648054166,0.06859186871657708,Normal
333,Normal,-2.608428821773122,0.0685979218143832,Normal
334,Normal,-2.6085235648054166,0.06859186871657708,Normal
335,Normal,-2.6085235648054166,0.06859186871657708,Normal
336,Normal,-2.6085235648054166,0.06859186871657708,Normal
337,Normal,-2.6085235648054166,0.06859186871657708,Normal
338,Normal,-2.6085303321648663,0.06859143637138194,Normal
339,Normal,-2.6085303321648663,0.06859143637138194,Normal
340,Normal,-2.60695138072516,0.06869237902977555,Normal
341,Normal,-2.6085235648054166,0.06859186871657708,Normal
342,Normal,-2.6085303321648663,0.06859143637138194,Normal
343,Normal,-2.6085303321648663,0.06859143637138194,Normal
344,Normal,-2.6085303321648663,0.06859143637138194,Normal
345,Normal,-2.608537099524316,0.06859100402871128,Normal
346,Normal,-2.6085235648054166,0.06859186871657708,Normal
347,Normal,-2.6085235648054166,0.06859186871657708,Normal
348,Normal,-2.6085303321648663,0.06859143637138194,Normal
349,Normal,-2.6085235648054166,0.06859186871657708,Normal
350,Normal,-2.6085303321648663,0.06859143637138194,Normal
351,Normal,-2.6085235648054166,0.06859186871657708,Normal
352,Normal,-2.6085235648054166,0.06859186871657708,Normal
353,Normal,-2.6085235648054166,0.06859186871657708,Normal
354,Normal,-2.6085303321648663,0.06859143637138194,Normal
355,Normal,-2.6085303321648663,0.06859143637138194,Normal
356,Normal,-2.6085303321648663,0.06859143637138194,Normal
357,Normal,-2.6085235648054166,0.06859186871657708,Normal
358,Normal,-2.6085303321648663,0.06859143637138194,Normal
359,Normal,-2.6085235648054166,0.06859186871657708,Normal
360,Normal,-2.6085235648054166,0.06859186871657708,Normal
361,Normal,-2.6085303321648663,0.06859143637138194,Normal
362,Normal,-2.6085235648054166,0.06859186871657708,Normal
363,Normal,-2.6069581480846096,0.06869194609777171,Normal
364,Normal,-2.6085235648054166,0.06859186871657708,Normal
365,Normal,-2.6085235648054166,0.06859186871657708,Normal
366,Normal,-2.6085235648054166,0.06859186871657708,Normal
367,Normal,-2.6085235648054166,0.06859186871657708,Normal
368,Normal,-2.6085303321648663,0.06859143637138194,Normal
369,Normal,-2.6085235648054166,0.06859186871657708,Normal
370,Normal,-2.608428821773122,0.0685979218143832,Normal
371,Normal,-2.6085235648054166,0.06859186871657708,Normal
372,Normal,-2.6085303321648663,0.06859143637138194,Normal
373,Normal,-2.6085303321648663,0.06859143637138194,Normal
374,Normal,-2.6084355891325717,0.06859748943384444,Normal
